game_id,mechanic_id
73171,17
73171,2
73171,3
73171,4
73171,30
136063,9
136063,1
136063,2
136063,4
136063,32
136063,11
136063,8
102652,1
102652,3
102652,8
172,13
172,3
192458,14
192458,3
192458,21
192458,23
875,2
875,40
875,4
875,32
875,20
17226,17
17226,2
17226,4
17226,26
17226,5
17226,8
27162,17
27162,23
11170,17
11170,2
11170,4
137408,9
137408,2
137408,4
137408,18
146791,1
146791,17
146791,2
146791,4
146791,5
146791,8
98778,1
98778,3
98778,25
98778,11
58421,14
58421,33
58421,23
97786,19
97786,17
97786,8
13,17
13,3
13,4
13,20
13,12
133038,1
133038,22
133038,17
133038,3
133038,5
133038,8
